Time,Toe,Heel,SAVZ,SAVY,SAVX,SANZ,SANY,SANX,SACZ,SACY,SACX,AAVZ,AAVY,AAVX,AANZ,AANY,AANX,AACZ,AACY,AACX
28060,5,15,5.43942308,-0.53798077,5.25048077,329.65288462,-6.33605769,-1.85480769,-0.46507692,-0.46723077,0.11576923,-4.09471154,-1.00576923,-0.25673077,319.866827,-0.316346154,-1.32692308,-0.72084615,-0.09661538,-0.02761538
28082,6,21,7.31442308,-0.97548077,2.81298077,329.59038462,-6.33605769,-2.04230769,-0.43507692,-0.60723077,-0.01423077,-3.59471154,-1.44326923,0.05576923,319.866827,-0.253846154,-1.32692308,-0.70084615,0.03338462,-0.04761538
28106,5,13,11.06442308,0.21201923,0.56298077,329.59038462,-6.33605769,-2.29230769,-0.69507692,-0.84723077,0.07576923,-3.59471154,-1.25576923,0.18076923,319.804327,-0.253846154,-1.32692308,-0.59084615,-0.32661538,-0.00761538
28125,11,10,14.93942308,-0.35048077,3.87548077,329.59038462,-6.33605769,-2.79230769,-0.64507692,-0.80723077,-0.21423077,-1.40721154,-1.25576923,1.24326923,319.804327,-0.191346154,-1.32692308,-0.70084615,-0.14661538,-0.04761538
28147,8,11,17.18942308,-0.03798077,2.81298077,329.52788462,-6.33605769,-3.16730769,-0.36507692,0.16276923,-0.30423077,0.03028846,-2.19326923,1.68076923,319.804327,-0.191346154,-1.38942308,-0.79084615,0.08338462,-0.05761538
28167,5,12,18.18942308,0.89951923,2.93798077,329.52788462,-6.39855769,-3.60480769,-0.12507692,-0.21723077,0.10576923,0.34278846,-2.75576923,1.24326923,319.741827,-0.128846154,-1.45192308,-0.64084615,-0.06661538,0.00238462
28186,4,9,19.56442308,1.33701923,3.81298077,329.52788462,-6.39855769,-4.04230769,-0.82507692,-0.60723077,0.01576923,1.09278846,-2.06826923,1.99326923,319.741827,-0.128846154,-1.57692308,-0.74084615,-0.06661538,-0.03761538
28208,5,9,19.81442308,-0.53798077,-4.93701923,329.59038462,-6.39855769,-4.47980769,-0.86507692,0.21276923,0.03576923,0.84278846,-2.19326923,1.80576923,319.741827,-0.128846154,-1.63942308,-0.73084615,0.01338462,-0.04761538
28231,7,8,18.06442308,0.02451923,-1.06201923,329.71538462,-6.39855769,-4.85480769,-0.51507692,0.81276923,0.28576923,-0.09471154,-2.06826923,1.24326923,319.679327,-0.0663461538,-1.70192308,-0.61084615,0.09338462,-0.03761538
28255,9,9,16.81442308,-0.97548077,6.62548077,329.65288462,-6.39855769,-5.29230769,-0.47507692,0.18276923,0.51576923,-1.65721154,-0.19326923,0.93076923,319.679327,-0.0663461538,-1.76442308,-0.77084615,0.08338462,-0.14761538
28275,9,1,15.50192308,-3.22548077,6.93798077,329.52788462,-6.33605769,-5.66730769,-0.96507692,-0.64723077,1.24576923,-3.46971154,2.05673077,-0.06923077,319.679327,-0.0663461538,-1.76442308,-0.60084615,-0.00661538,0.07238462
28295,8,0,17.43942308,-4.85048077,10.56298077,329.27788462,-6.14855769,-6.29230769,-1.32507692,0.24276923,1.73576923,-8.34471154,8.55673077,0.36826923,319.679327,-0.191346154,-1.63942308,-0.39084615,-0.11661538,0.06238462
28315,8,0,17.68942308,-10.22548077,19.68798077,329.09038462,-6.02355769,-6.47980769,-1.09507692,0.78276923,2.54576923,-14.21971154,18.80673077,2.61826923,319.67932692,-0.50384615,-1.45192308,-0.67084615,-0.48661538,0.00238462
28337,13,0,16.68942308,-9.03798077,31.12548077,328.21538462,-5.64855769,-7.16730769,0.01492308,0.47276923,4.27576923,-19.53221154,35.55673077,9.30576923,319.55432692,-1.12884615,-1.07692308,0.21915385,0.16338462,0.70238462
28359,17,0,13.18942308,-7.03798077,57.25048077,327.21538462,-5.39855769,-7.60480769,1.05492308,-0.05723077,4.67576923,-26.71971154,70.05673077,18.68076923,319.30432692,-2.31634615,-0.57692308,0.38915385,0.44338462,1.02238462
28380,6,0,18.81442308,-7.60048077,57.06298077,326.15288462,-5.08605769,-8.10480769,1.71492308,-2.10723077,4.88576923,-38.96971154,128.55673077,25.80576923,319.116827,-4.50384615,0.298076923,0.88915385,-0.31661538,1.29238462
28404,2,0,25.18942308,-7.10048077,48.12548077,325.21538462,-4.83605769,-8.72980769,1.83492308,-2.91723077,4.62576923,-45.09471154,185.86923077,38.49326923,318.67932692,-9.81634615,2.29807692,-0.45084615,-1.78661538,1.05238462
28426,11,0,33.25192308,-6.91298077,40.18798077,324.15288462,-4.46105769,-9.91730769,0.68492308,-6.14723077,3.41576923,-35.40721154,211.36923077,45.99326923,318.36682692,-13.87884615,3.79807692,-1.77084615,-2.31661538,1.55238462
28448,0,0,44.81442308,-7.72548077,12.18798077,323.84038462,-4.27355769,-10.79230769,0.22492308,-6.79723077,2.33576923,-8.03221154,195.24423077,47.43076923,318.11682692,-17.75384615,4.79807692,-3.78084615,-0.41661538,1.52238462
28469,0,0,56.93942308,-2.91298077,-9.62451923,324.02788462,-4.21105769,-11.91730769,-0.92507692,-3.21723077,1.84576923,-52.71971154,253.61923077,47.43076923,317.80432692,-22.19134615,7.04807692,-15.32084615,-0.65661538,5.23238462
28494,0,0,95.06442308,18.52451923,-47.56201923,324.84038462,-4.58605769,-13.47980769,-4.81507692,1.96276923,3.01576923,-16.28221154,124.05673077,30.61826923,317.42932692,-25.37884615,9.36057692,-11.42084615,-0.10661538,8.01238462
28516,0,0,139.75192308,41.02451923,-58.31201923,325.96538462,-5.52355769,-15.91730769,-1.21507692,0.83276923,4.03576923,159.28028846,22.68173077,64.36826923,317.80432692,-27.19134615,3.67307692,-7.59084615,6.56338462,1.93238462
28538,0,0,142.87692308,39.58701923,-24.62451923,327.21538462,-6.96105769,-20.10480769,-1.59507692,2.97276923,2.22576923,10.03028846,-8.31826923,135.99326923,315.86682692,-28.12884615,-0.45192308,-3.93084615,-0.85661538,0.14238462
28559,0,0,140.56442308,47.96201923,27.43798077,327.02788462,-7.77355769,-22.97980769,-1.86507692,2.22276923,3.13576923,-26.59471154,21.30673077,152.43076923,312.74182692,-29.31634615,-3.76442308,-2.57084615,-5.75661538,0.61238462
28583,0,0,140.00192308,48.27451923,65.25048077,325.90288462,-8.14855769,-25.97980769,-0.87507692,-0.18723077,3.01576923,11.59278846,62.99423077,143.11826923,310.05432692,-31.19134615,-7.51442308,-2.04084615,-5.07661538,2.11238462
28607,0,0,139.75192308,45.58701923,71.06298077,323.96538462,-8.33605769,-30.54230769,-0.66507692,-1.59723077,2.72576923,-18.03221154,60.18173077,82.93076923,307.11682692,-33.81634615,-11.51442308,-1.86084615,-6.81661538,6.78238462
28627,0,0,139.43942308,38.33701923,56.06298077,323.02788462,-8.46105769,-33.54230769,-1.03507692,-2.02723077,1.26576923,-0.65721154,41.99423077,73.74326923,305.92932692,-34.75384615,-14.07692308,1.37915385,-3.72661538,4.69238462
28647,0,0,134.18942308,42.58701923,34.68798077,322.46538462,-8.77355769,-36.29230769,-0.56507692,-2.75723077,1.20576923,34.28028846,19.61923077,77.36826923,304.99182692,-35.37884615,-17.45192308,2.93915385,-1.49661538,3.73238462
28667,0,0,115.56442308,40.71201923,25.62548077,321.96538462,-9.14855769,-38.60480769,0.19492308,-2.59723077,-0.14423077,9.78028846,2.61923077,79.55576923,303.61682692,-35.56634615,-20.57692308,3.87915385,-3.82661538,3.51238462
28687,0,0,80.93942308,40.64951923,17.81298077,321.46538462,-9.52355769,-40.47980769,0.40492308,-2.46723077,-0.60423077,12.96778846,-12.44326923,68.68076923,302.36682692,-35.44134615,-23.45192308,5.00915385,-4.68661538,3.10238462
28710,0,0,64.56442308,33.46201923,16.56298077,321.09038462,-9.83605769,-42.04230769,0.64492308,-2.89723077,-1.12423077,13.15528846,-30.69326923,37.61826923,301.67932692,-34.87884615,-25.32692308,6.80915385,-4.66661538,0.69238462
28731,0,0,43.87692308,28.14951923,7.87548077,320.77788462,-10.14855769,-43.16730769,1.09492308,-4.14723077,-1.03423077,24.46778846,-32.56826923,5.55576923,301.67932692,-34.25384615,-26.26442308,7.09915385,-3.28661538,0.02238462
